ccc_2018-08-31_cccc-1-rapid-rumble-15-5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
ccc_2020-06-26_14-27-stockfish-vs-leelenstein.pgn: CCC 14.27: Stockfish vs Leelenstein (15|5)
ccc_2020-06-27_14-27-stockfish-vs-leelenstein-tiebreak-ii.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak II) (5|2)
ccc_2020-06-27_14-27-stockfish-vs-leelenstein-tiebreak-iii.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak III) (5|2)
ccc_2020-06-27_14-27-stockfish-vs-leelenstein-tiebreak-iv.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak IV) (1|1)
ccc_2020-06-27_14-27-stockfish-vs-leelenstein-tiebreak.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak) (15|5)
ccc_2020-06-27_14-28-lc0-vs-stoofvlees-tiebreak.pgn: CCC 14.28: Lc0 vs Stoofvlees (Tiebreak) (15|5)
ccc_2020-06-27_14-28-lc0-vs-stoofvlees.pgn: CCC 14.28: Lc0 vs Stoofvlees (15|5)
ccc_2020-06-28_14-29-stockfish-vs-lc0-tiebreak-ii.pgn: CCC 14.29: Stockfish vs Lc0 (Tiebreak II) (5|2)
ccc_2020-06-28_14-29-stockfish-vs-lc0-tiebreak.pgn: CCC 14.29: Stockfish vs Lc0 (Tiebreak) (15|5)
ccc_2020-06-28_14-29-stockfish-vs-lc0.pgn: CCC 14.29: Stockfish vs Lc0 (15|5)
ccc_2020-06-28_14-30-lc0-vs-leelenstein-i.pgn: CCC 14.30: Lc0 vs Leelenstein I (15|5)
ccc_2020-06-29_14-30-lc0-vs-leelenstein-i-tiebreak-ii.pgn: CCC 14.30: Lc0 vs Leelenstein I (Tiebreak II) (5|2)
ccc_2020-06-29_14-30-lc0-vs-leelenstein-i-tiebreak.pgn: CCC 14.30: Lc0 vs Leelenstein I (Tiebreak) (15|5)
ccc_2020-06-29_14-31-lc0-vs-leelenstein-ii.pgn: CCC 14.31: Lc0 vs Leelenstein II (15|5)
ccc_2020-06-30_14-31-lc0-vs-leelenstein-ii-tiebreak.pgn: CCC 14.31: Lc0 vs Leelenstein II (Tiebreak) (15|5)
ccc_2020-08-27_15-02-komodo-mc-vs-lc0-cpu.pgn: CCC 15.02: Komodo MC vs Lc0 CPU (1|1)
ccc_2020-08-28_15-05-fire-vs-ethereal.pgn: CCC 15.05: Fire vs Ethereal (1|1)
ccc_2020-08-29_15-08-stockfish-vs-defenchess.pgn: CCC 15.08: Stockfish vs Defenchess (1|1)
ccc_2020-08-30_15-03-stoofvlees-vs-slowchess.pgn: CCC 15.03: Stoofvlees vs SlowChess (1|1)
ccc_2020-08-31_15-09-leelenstein-vs-rubichess.pgn: CCC 15.09: Leelenstein vs RubiChess (1|1)
ccc_2020-09-01_15-06-komodo-vs-xiphos.pgn: CCC 15.06: Komodo vs Xiphos (1|1)
ccc_2020-09-02_15-07-stockfish-classic-vs-rofchade.pgn: CCC 15.07: Stockfish Classic vs rofChade (1|1)
ccc_2020-11-12_blitz-championship-2020.pgn: CCC Blitz Championship 2020 (5|5)
ccc_2020-11-26_blitz-championship-2020-semi-finals.pgn: CCC Blitz Championship 2020: Semi-finals (5|5)
ccc_2020-12-03_blitz-championship-2020-finals.pgn: CCC Blitz Championship 2020: Finals (5|5)
ccc_2021-01-15_rapid-2021-qualifiers.pgn: CCC Rapid 2021: Qualifiers (15|3)
ccc_2021-01-22_rapid-2021-nnue-league.pgn: CCC Rapid 2021: NNUE League (15|3)
ccc_2021-01-29_rapid-2021-main-league.pgn: CCC Rapid 2021: Main League (15|3)
ccc_2021-02-06_rapid-2021-nn-vs-classic.pgn: CCC Rapid 2021: NN vs Classic (15|3)
ccc_2021-02-17_rapid-2021-elite-round.pgn: CCC Rapid 2021: Elite Round (15|3)
ccc_2021-03-04_rapid-2021-finals.pgn: CCC Rapid 2021: Finals (15|3)
ccc_2021-08-17_blitz-championship-2021.pgn: CCC Blitz Championship 2021 (5|5)
ccc_2021-08-31_blitz-championship-2021-semifinals.pgn: CCC Blitz Championship 2021: Semifinals (5|5)
ccc_2021-09-07_blitz-championship-2021-finals.pgn: CCC Blitz Championship 2021: Finals (5|5)
ccc_2021-09-24_chess-960-blitz-championship.pgn: CCC Chess 960 Blitz Championship (5|5)
ccc_2021-10-09_chess-960-blitz-championship-semifinals.pgn: CCC Chess 960 Blitz Championship: Semifinals (5|5)
ccc_2021-10-17_chess-960-blitz-championship-finals.pgn: CCC Chess 960 Blitz Championship: Finals (5|5)
ccc_2021-10-25_16-rapid-qualification.pgn: CCC 16 Rapid: Qualification (15|3)
ccc_2021-11-01_16-rapid-main.pgn: CCC 16 Rapid: Main (15|3)
ccc_2021-11-08_16-rapid-semifinals.pgn: CCC 16 Rapid: Semifinals (15|3)
ccc_2021-11-15_16-rapid-finals.pgn: CCC 16 Rapid: Finals (15|3)
ccc_2021-11-23_16-rapid-runners-up.pgn: CCC 16 Rapid: Runners-up (15|3)
ccc_2021-12-01_16-bullet-qualification.pgn: CCC 16 Bullet: Qualification (2|1)
ccc_2021-12-09_16-bullet-main.pgn: CCC 16 Bullet: Main (2|1)
ccc_2021-12-18_16-bullet-semifinals.pgn: CCC 16 Bullet: Semifinals (2|1)
ccc_2021-12-27_16-bullet-finals.pgn: CCC 16 Bullet: Finals (2|1)
ccc_2022-01-09_16-blitz-qualification.pgn: CCC 16 Blitz: Qualification (5|5)
ccc_2022-01-15_16-blitz-main.pgn: CCC 16 Blitz: Main (5|5)
ccc_2022-01-23_16-blitz-semifinals.pgn: CCC 16 Blitz: Semifinals (5|5)
